# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 16 03:46:30 2021
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
#
toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
1057.01,323132914,PC,2458607.3469030,0.003120,-0.003120,0,51.1648219,0.0044507,-0.0044507,0,6.2549575,0.4378926,-0.4378926,0
1058.01,31553893,PC,2458663.0235910,0.005969,-0.005969,0,11.1296402,0.0002401,-0.0002401,0,7.1068241,0.3739165,-0.3739165,0
1059.01,380783252,PC,2459378.7143160,0.000158,-0.000158,0,9.4496506,0.0000028,-0.0000028,0,2.0210000,0.0270000,-0.0270000,0
106.01,38846515,KP,2459386.7153180,0.000487,-0.000487,0,2.8493824,0.0000042,-0.0000042,0,3.8060000,0.5320000,-0.5320000,0
1060.01,101230735,APC,2458653.9675540,0.000878,-0.000878,0,2.0685590,0.0000125,-0.0000125,0,0.9982308,0.3191344,-0.3191344,0
1061.01,253990973,FP,2458654.2532490,0.003078,-0.003078,0,0.5409330,0.0001070,-0.0001070,0,1.6743370,0.3297570,-0.3297570,0
1062.01,299799658,PC,2458325.4267810,0.000875,-0.000875,0,4.1150133,0.0000113,-0.0000113,0,1.1960092,0.2285306,-0.2285306,0
1063.01,406976746,PC,2459374.3153370,0.002181,-0.002181,0,10.0665634,0.0000409,-0.0000409,0,1.9810000,0.2580000,-0.2580000,0
1064.01,79748331,PC,2458656.6682500,0.001449,-0.001449,0,6.4438568,0.0000358,-0.0000358,0,1.9034071,0.3156658,-0.3156658,0
1064.02,79748331,PC,2458664.4912650,0.001903,-0.001903,0,12.2264881,0.0000884,-0.0000884,0,2.1689136,0.4113601,-0.4113601,0
